name,kcal_per_100g,category
Portakal suyu,45.0,İçecekler (Alkollü / Alkolsüz)
Rakı,250.0,İçecekler (Alkollü / Alkolsüz)
Soda,0.0,İçecekler (Alkollü / Alkolsüz)
Su,0.0,İçecekler (Alkollü / Alkolsüz)
Tekila,250.0,İçecekler (Alkollü / Alkolsüz)
Türk kahvesi,2.0,İçecekler (Alkollü / Alkolsüz)
Viski,250.0,İçecekler (Alkollü / Alkolsüz)
Votka,231.0,İçecekler (Alkollü / Alkolsüz)
Çay,1.0,İçecekler (Alkollü / Alkolsüz)
Üzüm suyu,60.0,İçecekler (Alkollü / Alkolsüz)
Şarap,83.0,İçecekler (Alkollü / Alkolsüz)
Şekersiz kahve,2.0,İçecekler (Alkollü / Alkolsüz)
Şekersiz çay,1.0,İçecekler (Alkollü / Alkolsüz)
Bebek bisküvisi,430.0,Bebek / Çocuk
Bebek maması (pirinç),370.0,Bebek / Çocuk
Bebek maması (tahıl),380.0,Bebek / Çocuk
Bebek yoğurdu,75.0,Bebek / Çocuk
Devam sütü,67.0,Bebek / Çocuk
Biber salçası,82.0,Hazır / İşlenmiş Gıdalar
Cips,536.0,Hazır / İşlenmiş Gıdalar
Domates salçası,82.0,Hazır / İşlenmiş Gıdalar
Dondurulmuş bezelye,80.0,Hazır / İşlenmiş Gıdalar
Dondurulmuş mısır,86.0,Hazır / İşlenmiş Gıdalar
Dondurulmuş sebze karışımı,60.0,Hazır / İşlenmiş Gıdalar
Hazır çorba,350.0,Hazır / İşlenmiş Gıdalar
Karabiber,251.0,Hazır / İşlenmiş Gıdalar
Kekik,265.0,Hazır / İşlenmiş Gıdalar
Ketçap,112.0,Hazır / İşlenmiş Gıdalar
Kimyon,375.0,Hazır / İşlenmiş Gıdalar
Konserve fasulye,110.0,Hazır / İşlenmiş Gıdalar
Konserve mercimek,110.0,Hazır / İşlenmiş Gıdalar
Konserve mısır,86.0,Hazır / İşlenmiş Gıdalar
Konserve nohut,140.0,Hazır / İşlenmiş Gıdalar
Konserve ton balığı,132.0,Hazır / İşlenmiş Gıdalar
Mayonez,680.0,Hazır / İşlenmiş Gıdalar
Pul biber,282.0,Hazır / İşlenmiş Gıdalar
Salam,336.0,Hazır / İşlenmiş Gıdalar
Salam (paket),336.0,Hazır / İşlenmiş Gıdalar
Salça,82.0,Hazır / İşlenmiş Gıdalar
Salça (biber),82.0,Hazır / İşlenmiş Gıdalar
Salça (domates),82.0,Hazır / İşlenmiş Gıdalar
Sosis,301.0,Hazır / İşlenmiş Gıdalar
Sosis (paket),301.0,Hazır / İşlenmiş Gıdalar
Sucuk,450.0,Hazır / İşlenmiş Gıdalar
Tarhana,336.0,Hazır / İşlenmiş Gıdalar
Tarhana çorbası (pişmiş),60.0,Hazır / İşlenmiş Gıdalar
Tarçın,247.0,Hazır / İşlenmiş Gıdalar
Turşu,12.0,Hazır / İşlenmiş Gıdalar
Zeytin (siyah),115.0,Hazır / İşlenmiş Gıdalar
Zeytin (yeşil),145.0,Hazır / İşlenmiş Gıdalar
Rakı (40°),250.0,İçecekler (Alkollü / Alkolsüz)
Bira (açık),43.0,İçecekler (Alkollü / Alkolsüz)
Bira (koyu),50.0,İçecekler (Alkollü / Alkolsüz)
Bira (alkolsüz),20.0,İçecekler (Alkollü / Alkolsüz)
Şarap (kırmızı),85.0,İçecekler (Alkollü / Alkolsüz)
Şarap (beyaz),82.0,İçecekler (Alkollü / Alkolsüz)
Şarap (gül),83.0,İçecekler (Alkollü / Alkolsüz)
Köpüklü şarap,76.0,İçecekler (Alkollü / Alkolsüz)
Rom,231.0,İçecekler (Alkollü / Alkolsüz)
Likör,300.0,İçecekler (Alkollü / Alkolsüz)
Vermut,140.0,İçecekler (Alkollü / Alkolsüz)
Konyak,239.0,İçecekler (Alkollü / Alkolsüz)
Şalgam suyu,20.0,İçecekler (Alkollü / Alkolsüz)
Boza,70.0,İçecekler (Alkollü / Alkolsüz)
Salep,80.0,İçecekler (Alkollü / Alkolsüz)
Türk kahvesi (şekersiz),2.0,İçecekler (Alkollü / Alkolsüz)
Türk kahvesi (şekerli),40.0,İçecekler (Alkollü / Alkolsüz)
Sıcak çikolata,83.0,İçecekler (Alkollü / Alkolsüz)
Aromalı maden suyu,5.0,İçecekler (Alkollü / Alkolsüz)
Şıra,50.0,İçecekler (Alkollü / Alkolsüz)
Zeytinyağı (sızma),884.0,Yağlar
Susam yağı,884.0,Yağlar
Tereyağı (tuzsuz),717.0,Yağlar
Kuyruk yağı,902.0,Yağlar
İç yağı,902.0,Yağlar
Süt (yağlı),61.0,Süt ve Süt Ürünleri
Süt (yarım yağlı),47.0,Süt ve Süt Ürünleri
Süt (yağsız),34.0,Süt ve Süt Ürünleri
Yoğurt (yağlı),61.0,Süt ve Süt Ürünleri
Probiyotik yoğurt,59.0,Süt ve Süt Ürünleri
Ayran (hazır),36.0,Süt ve Süt Ürünleri
Kefir (sade),41.0,Süt ve Süt Ürünleri
Krema,340.0,Süt ve Süt Ürünleri
Dondurma (sade),207.0,Süt ve Süt Ürünleri
Dondurma (çikolatalı),216.0,Süt ve Süt Ürünleri
Omlet (sade),154.0,Yumurta
Tarhana çorbası,45.0,Tahıllar ve Ekmekler
Beyaz un,364.0,Tahıllar ve Ekmekler
Tam buğday unu,340.0,Tahıllar ve Ekmekler
Pide ekmeği,275.0,Tahıllar ve Ekmekler
Kinoa,368.0,Tahıllar ve Ekmekler
Kinoa (pişmiş),120.0,Tahıllar ve Ekmekler
Mısır ekmeği,260.0,Tahıllar ve Ekmekler
Arpa şehriye (pişmiş),130.0,Tahıllar ve Ekmekler
Bakla,341.0,Bakliyat
Soya fasulyesi,446.0,Bakliyat
Kestane,213.0,Meyveler
Kestane (haşlanmış),171.0,Meyveler
Kestane (fırınlanmış),200.0,Meyveler
Karpuz (dilim),30.0,Meyveler
Kırmızı pancar,43.0,Sebzeler
Salatalık turşusu,12.0,Sebzeler
Lahana turşusu,20.0,Sebzeler
Köz biber,35.0,Sebzeler
Brüksel lahanası (fırınlanmış),51.0,Sebzeler
Kırmızı pancar (haşlanmış),47.0,Sebzeler
Kırmızı pancar (fırınlanmış),51.0,Sebzeler
Dana rosto (fırınlanmış),280.0,Et ve Et Ürünleri
Kuzu rosto (fırınlanmış),320.0,Et ve Et Ürünleri
Tavuk kıyma,170.0,Tavuk ve Hindi
Pekan cevizi,691.0,Kuruyemiş ve Tohumlar
Brezilya cevizi,659.0,Kuruyemiş ve Tohumlar
Çam fıstığı,673.0,Kuruyemiş ve Tohumlar
Revani,320.0,Şekerleme ve Tatlılar
Kadayıf,400.0,Şekerleme ve Tatlılar
Aşure,230.0,Şekerleme ve Tatlılar
Puding,120.0,Şekerleme ve Tatlılar
Künefe,430.0,Şekerleme ve Tatlılar
Hardal,66.0,Hazır / İşlenmiş Gıdalar
Sosis (tavuk),250.0,Hazır / İşlenmiş Gıdalar
Salam (dana),336.0,Hazır / İşlenmiş Gıdalar
Sucuk (dana),450.0,Hazır / İşlenmiş Gıdalar
Bebek maması (sebze),80.0,Bebek / Çocuk
Bebek maması (meyve),60.0,Bebek / Çocuk
Aronya,47.0,Meyveler
Kara üzüm,69.0,Meyveler
Beyaz üzüm,69.0,Meyveler
Mandalina (satsuma),53.0,Meyveler
Portakal (Washington),47.0,Meyveler
Pirinç (haşlanmış),130.0,Tahıllar ve Ekmekler
Bulgur (haşlanmış),83.0,Tahıllar ve Ekmekler
Kuskus (haşlanmış),112.0,Tahıllar ve Ekmekler
Ekmek (glutensiz),250.0,Tahıllar ve Ekmekler
Pirinç patlağı,380.0,Tahıllar ve Ekmekler
Mısır gevreği,370.0,Tahıllar ve Ekmekler
Buğday (aşurelik) (pişmiş),130.0,Tahıllar ve Ekmekler
Buğday (aşurelik),340.0,Tahıllar ve Ekmekler
Nişasta,381.0,Tahıllar ve Ekmekler
Mercimek (pişmiş),116.0,Bakliyat
Nohut (pişmiş),164.0,Bakliyat
Kuru fasulye (pişmiş),127.0,Bakliyat
Barbunya (pişmiş),127.0,Bakliyat
Börülce (pişmiş),116.0,Bakliyat
Bakla (pişmiş),110.0,Bakliyat
Hellim peyniri,321.0,Süt ve Süt Ürünleri
Mihaliç peyniri,350.0,Süt ve Süt Ürünleri
Çeçil peyniri,320.0,Süt ve Süt Ürünleri
İzmir tulumu,380.0,Süt ve Süt Ürünleri
Kars kaşarı,404.0,Süt ve Süt Ürünleri
Yoğurt (ev yapımı),61.0,Süt ve Süt Ürünleri
Dana döş (çiğ),290.0,Et ve Et Ürünleri
Dana döş (fırınlanmış),330.0,Et ve Et Ürünleri
Tavuk şinitzel,250.0,Tavuk ve Hindi
Hindi füme,110.0,Tavuk ve Hindi
Zeytin ezmesi,250.0,Hazır / İşlenmiş Gıdalar
Tahın,595.0,Şekerleme ve Tatlılar
Tahin helvası,516.0,Şekerleme ve Tatlılar
Pestil,300.0,Şekerleme ve Tatlılar
Cezerye,370.0,Şekerleme ve Tatlılar
Kurabiye,480.0,Şekerleme ve Tatlılar
Bira (buğday),45.0,İçecekler (Alkollü / Alkolsüz)
Şarap (sek),83.0,İçecekler (Alkollü / Alkolsüz)
Şarap (tatlı),120.0,İçecekler (Alkollü / Alkolsüz)
Rakı (düşük alkollü),220.0,İçecekler (Alkollü / Alkolsüz)
Likör (meyveli),300.0,İçecekler (Alkollü / Alkolsüz)
Soğuk çay,30.0,İçecekler (Alkollü / Alkolsüz)
Leblebi (sarı),356.0,Kuruyemiş ve Tohumlar
Leblebi (beyaz),356.0,Kuruyemiş ve Tohumlar
